"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2021_Q119";"multipla";"Biologia";"Língua Estrangeira (Inglês)";"Modernismo";"Médio";"ENEM";"2021";"15";"Com o objetivo de identificar a melhor espécie produtora de madeira para construção 9com resistência mecânica e à degradação), foram analisadas as estruturas anatômicas de cinco espécies, conforme o quadro. ![](https://enem.dev/2021/questions/119/10bb6002-7436-4c10-b35c-8f90cd159c56.png)";"1";"2";"3";"4";"5";"a";"A resposta correta é a alternativa A. 1"
"ENEM_2021_Q120";"multipla";"História";"Literatura Brasileira";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"No outono, as folhas de árvores mudam de cor, de verde para tons de amarelo, castanho, laranja e vermelho. A cor de verde das folhas deve-se ao pigmento clorofila. Nas plantas de folhas caducas, a produção de clorofila diminui e o tom verde desvanece, permitindo assim que outros pigmentos, como o caroteno, de coloração amarelo-alaranjado, e a antocianina, de tons avermelhados, passem a dominar a tonalidade das folhas. A coloração observada se dá em função da interação desses pigmentos com a radiação solar. Conforme apresentado no espectro de absorção, as moléculas de clorofila absorvem a radiação solar nas regiões do azul e do vermelho, assim a luz refletida pelas folhas tem falta desses dois tons e as vemos na cor verde. Já as antocianinas absorvem a luz desde o azul até o verde. Nesse caso, a luz refletida pelas folhas que contêm antocianinas aparece conforme as cores complementares, ou seja, vermelho-alaranjado. ![](https://enem.dev/2021/questions/120/958924b2-26fa-4dbd-b73e-385bb284062f.png) Disponível em: https://vidauniversoydemas.wordpress.com. Acesso em: 6 dez. 2017 (adaptado)";"Entre o violeta e o azul.";"Entre o azul e o verde.";"Entre o verde e o amarelo.";"Entre o amarelo e o laranja.";"Entre o laranja e o vermelho.";"a";"A resposta correta é a alternativa A. Entre o violeta e o azul."
"ENEM_2021_Q121";"multipla";"Biologia";"Comunicação e Tecnologia";"Comprensión lectora";"Médio";"ENEM";"2021";"15";"Entre 2014 e 2016, as regiões central e oeste da África sofreram um grave epidemia de febre hemorrágica causada pelo vírus ebola, que se manifesta em até 21 dias após a infecção e cuja taxa de letalidade (enfermos que vão a óbito) pode chegar a 90%. Em regiões de clima tropical e subtropical, um outro vírus também pode causar febre hemorrágica: o vírus da dengue, que, embora tenha período de incubação menor (até 10 dias), apresenta taxa de letalidade abaixo de 1%. Disponível em: www.who.int. Acesso em: 1 fev. 2017 (adaptado).";"Ebola, pois o maior período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro.";"Dengue, pois o menor período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro.";"Ebola, cuja alta letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo de sua evolução.";"Ebola, cujos surtos epidêmicos concentram-se no continente africano, reconhecido como berço da origem evolutiva dos seres humanos.";"Dengue, cuja baixa letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo da coevolução patógeno-hospedeiro.";"e";"A resposta correta é a alternativa E. Dengue, cuja baixa letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo da coevolução patógeno-hospedeiro...."
"ENEM_2021_Q122";"multipla";"Biologia";"Língua Estrangeira (Inglês)";"Reading comprehension";"Médio";"ENEM";"2021";"15";"A imagem apresenta as etapas do funcionamento de uma estação individual para tratamento do esgoto residencial. ![](https://enem.dev/2021/questions/122/17802e92-7e27-4479-b0ba-f8a3b4c951a8.png) TAVARES, K. **Estações de tratamento de esgoto individuais permitem a reutilização da água.** Disponível em: https://extra.globo.com. Acesso em: 18 nov 2014 (adaptado).";"1";"2";"3";"5";"6";"c";"A resposta correta é a alternativa C. 3"
"ENEM_2021_Q123";"multipla";"Biologia";"Artes e Cultura";"Coesão e coerência";"Médio";"ENEM";"2021";"15";"O plantio por estaquia é um método de propagação de plantas no qual partes de um espécime são colocadas no solo para produzir novas gerações. Na floricultura, é comum utilizar o caule das roseiras para estaquia, pois a propagação da planta é positiva em razão da aplicação de auxinas na porção inferior do caule.";"Floração da planta.";"Produção de gemas laterais.";"Formação de folhas maiores.";"Formação de raízes adventícias.";"Produção de compostos energéticos.";"d";"A resposta correta é a alternativa D. Formação de raízes adventícias."
"ENEM_2021_Q124";"multipla";"Biologia";"Gramática e Linguística";"Análise sintática";"Médio";"ENEM";"2021";"15";"O emprego de células de combustível a hidrogênio pode ser uma tecnologia adequada ao transporte automotivo. O quadro apresenta características de cinco tecnologias mais proeminentes de células de combustível. ![](https://enem.dev/2021/questions/124/df5d7675-a414-4e3d-914e-116d7bd061ac.png) Testes operacionais com esses tipos de células têm indicado que as melhores alternativas para veículos são as que operam em baixos níveis de energia térmica, são formadas por membranas de eletrólitos poliméricos e ocorrem em meio ácido. THOMAS, S; ZALBOWITZ, M. **Full cells**: green power. Losalamos National Laboratory. Los Alamos, NM, 1999 (adaptado).";"AFC.";"MSFC.";"PEM.";"PAFC.";"SOFC.";"c";"A resposta correta é a alternativa C. PEM."
"ENEM_2021_Q125";"multipla";"Biologia";"Literatura Brasileira";"Reading comprehension";"Médio";"ENEM";"2021";"15";"Considere a tirinha, na situação em que a temperatura do ambiente é inferior à temperatura corporal dos personagens. ![](https://enem.dev/2021/questions/125/b977d1f8-d938-495f-9ead-68872c377b37.png)";"A temperatura do vapor-d'água presente no ar é alta.";"O suor apresenta maior dificuldade para evaporar do corpo.";"A taxa de absorção de radiação pelo corpo torna-se maior.";"O ar torna-se mau condutor e dificulta o processo de liberação de calor.";"O vapor-d'água presente no ar condensa-se ao entrar em contato com a pele.";"b";"A resposta correta é a alternativa B. O suor apresenta maior dificuldade para evaporar do corpo."
"ENEM_2021_Q126";"multipla";"Biologia";"Literatura Brasileira";"Análise sintática";"Médio";"ENEM";"2021";"15";"Um garoto precisa montar um circuito que acenda três lâmpadas de cores diferentes, uma de cada vez. Ele dispõe das lâmpadas, de fios, uma bateria e dois interruptores, como ilustrado, junto com seu símbolo de três pontos. Quando esse interruptor fecha AB, abre BC e vice-versa. ![](https://enem.dev/2021/questions/126/0628bf6f-7d5c-4dc6-befa-149ef1567926.png)";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"d";"Gabarito oficial: alternativa D. Consulte a resolução completa no gabarito oficial do INEP."
"ENEM_2021_Q127";"multipla";"Biologia";"Artes e Cultura";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"Estudo aponta que a extinção de preguiças-gigantes, cuja base da dieta eram frutos e sementes, provocou impactos consideráveis na vegetação do Pantanal brasileiro. A flora, embora não tenha desaparecido, tornou-se menos abundante que no passado, além de ocupar áreas mais restritas. BICUDO, F. Jardineiro da pesada. Ecologia. **Pesquisa Fapesp**, ed. 231, maio 2015 (adaptado).";"Da produção de flores.";"Do tamanho das plantas.";"De fatores de disseminação das sementes.";"Da quantidade de semente por fruto.";"Dos hábitats disponíveis para as plantas.";"c";"A resposta correta é a alternativa C. De fatores de disseminação das sementes."
"ENEM_2021_Q128";"multipla";"Biologia";"Literatura Brasileira";"Comprensión lectora";"Médio";"ENEM";"2021";"15";"Carros elétricos estão cada vez mais baratos, no entanto, os órgãos governamentais e a indústria se preocupam com o tempo de recarga das baterias, que é muito mais lento quando comparado ao tempo gasto para encher o tanque de combustível. Portanto, os usuários de transporte individual precisam se conscientizar dos ganhos ambientais dessa mudança e planejar com antecedência seus percursos, pensando em pausas necessárias para recargas. Após realizar um percurso de 110km, um motorista pretende recarregar as baterias de seu carro elétrico, que tem um desempenho médio de 5,0 km/kWh, usando um carregador ideal que opera a uma tensão de 220 V e é percorrido por uma corrente de 20 A.";"0,005";"0,125";"2,5";"5,0";"8,0";"d";"A resposta correta é a alternativa D. 5,0"
"ENEM_2021_Q129";"multipla";"Biologia";"Artes e Cultura";"Mídias digitais";"Médio";"ENEM";"2021";"15";"Nas angiospermas, além da fertilização da oosfera, existe uma segunda fertilização que resulta num tecido triploide.";"Nutrição para o fruto.";"Reserva para o embrião.";"Revestimento para a semente.";"Proteção para o megagametófito.";"Vascularização para a planta jovem.";"b";"A resposta correta é a alternativa B. Reserva para o embrião."
"ENEM_2021_Q130";"multipla";"Biologia";"Interpretação e Produção de Texto";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"Com o objetivo de proporcionar aroma e sabor a diversos alimentos, a indústria alimentícia se utiliza de flavorizantes. Em geral, essas substâncias são ésteres, como as apresentadas no quadro. ![](https://enem.dev/2021/questions/130/dd0ea14c-aaa3-49b0-94c5-a514996ea0f6.png)";"Kiwi.";"Banana.";"Pêssego.";"Rum.";"Uva.";"b";"A resposta correta é a alternativa B. Banana."
"ENEM_2021_Q131";"multipla";"Biologia";"Gramática e Linguística";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"O eletrocardiograma é um exame cardíaco que mede a intensidade dos sinais elétricos advindo do coração. ![](https://enem.dev/2021/questions/131/a87188b9-ef4f-48a8-bc38-b94443bea787.png)";"30";"60";"100";"120";"180";"b";"A resposta correta é a alternativa B. 60"
"ENEM_2021_Q132";"multipla";"Biologia";"Artes e Cultura";"Romantismo";"Médio";"ENEM";"2021";"15";"A deficiência de lipase ácida lisossômica é uma doença hereditária associada a um gene do cromossomo 10. Os pais dos pacientes podem não saber que são portadores dos genes da doença até o nascimento do primeiro filho afetado. Quando ambos os progenitores são portadores, existe uma chance, em quatro, de que seu bebê possa nascer com essa doença. ANDERSON, R. A. et. al. In: Situ Localization of the Genetic Locus Encoding the Lysosomal Acid Lipase/Cholesteryl Esterase (LIPA) Deficient in Wolman Disease to Chromosome 10q23.2-q23.3. **Genomics**, n. 1, jan, 1993 (adaptado).";"Recessivo.";"Dominante.";"Codominante.";"Poligênico.";"Polialélico.";"a";"A resposta correta é a alternativa A. Recessivo."
"ENEM_2021_Q133";"multipla";"Biologia";"Língua Estrangeira (Inglês)";"Modernismo";"Médio";"ENEM";"2021";"15";"O quadro lista alguns dispositivos eletrônicos que estão presentes no dia a dia, bem como a faixa de força eletromotriz necessária ao seu funcionamento. ![](https://enem.dev/2021/questions/133/7c6e4c3d-7d86-480f-9b8d-7724ac2f3928.png) Considere que uma bateria é construída pela associação em série de três pilhas de lítio-iodo, nas condições-padrão, conforme as semiequações de redução apresentadas. ![](https://enem.dev/2021/questions/133/4e5f2e9f-79d3-4a10-a4dc-cbff60aaa875.png)";"I";"II";"III";"IV";"V";"d";"A resposta correta é a alternativa D. IV"
"ENEM_2021_Q134";"multipla";"Biologia";"Interpretação e Produção de Texto";"Mídias digitais";"Médio";"ENEM";"2021";"15";"O alcoolômetro Gay Lussac é um instrumento destinado a medir o teor de álcool, em porcentagem de volume (v/v), de soluções de água e álcool na faixa de 0º GL a 100ºGL, com divisões de 0,1ºGL. A concepção do alcoolômetro se baseia no princípio de flutuabilidade de Arquimedes, semelhante ao funcionamento de um densímetro. A escala do instrumento é aferida a 20ºC, sendo necessária a correção da medida, caso a temperatura da solução não esteja na temperatura de aferição. É apresentada parte da tabela de correção de um alcoolômetro, com a temperatura. ![](https://enem.dev/2021/questions/134/7c4c3c55-a6c0-4f80-a379-f316fb889544.png) **Manual alcoolômetro Gay Lussac**. Disponível em: www.incoterm.com.br. Acesso em: 4 dez. 2018 (adaptado).";"Aumento da dissociação da água.";"Aumento da densidade da água e do álcool.";"Mudança do volume dos materiais por dilatação.";"Aumento da concentração de álcool durante a medida.";"Alteração das propriedades químicas da mistura álcool e água.";"c";"A resposta correta é a alternativa C. Mudança do volume dos materiais por dilatação."
"ENEM_2021_Q135";"multipla";"Biologia";"Língua Estrangeira (Inglês)";"Análise sintática";"Médio";"ENEM";"2021";"15";"O Prêmio Nobel de Química de 2000 deveu-se à descoberta e ao desenvolvimento de polímeros condutores. Esses materiais têm ampla aplicação em novos dispositivos eletroluminescentes (LEDs), células fotovoltaicas etc. Uma propriedade-chave de um polímero condutor é a presença de ligações duplas conjugadas ao longo da cadeia principal do polímero. ROCHA FILHO, R. C. Polímeros condutores: descoberta e aplicações. **Química Nova na Escola**. n. 12, 2000 (adaptado).";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"d";"Gabarito oficial: alternativa D. Consulte a resolução completa no gabarito oficial do INEP."
"ENEM_2021_Q135";"multipla";"Biologia";"Gramática e Linguística";"Análise sintática";"Médio";"ENEM";"2021";"15";"O Prêmio Nobel de Química de 2000 deveu-se à descoberta e ao desenvolvimento de polímeros condutores. Esses materiais têm ampla aplicação em novos dispositivos eletroluminescentes (LEDs), células fotovoltaicas etc. Uma propriedade-chave de um polímero condutor é a presença de ligações duplas conjugadas ao longo da cadeia principal do polímero. ROCHA FILHO, R. C. Polímeros condutores: descoberta e aplicações. **Química Nova na Escola**. n. 12, 2000 (adaptado).";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"d";"Gabarito oficial: alternativa D. Consulte a resolução completa no gabarito oficial do INEP."
